洲,国家,省,市,县
亚洲,中国,,北京,东城
亚洲,中国,,北京,西城
亚洲,中国,,北京,朝阳
亚洲,中国,,北京,丰台
亚洲,中国,,北京,石景山
亚洲,中国,,北京,海淀
亚洲,中国,,北京,海淀
亚洲,中国,,北京,门头沟
亚洲,中国,,北京,房山
亚洲,中国,,北京,通州
亚洲,中国,,北京,顺义
亚洲,中国,,北京,昌平
亚洲,中国,,北京,大兴
亚洲,中国,,北京,平谷
亚洲,中国,,北京,怀柔
亚洲,中国,,北京,密云
亚洲,中国,,北京,延庆
亚洲,中国,,天津,和平
亚洲,中国,,天津,河东
亚洲,中国,,天津,河西
亚洲,中国,,天津,南开
亚洲,中国,,天津,河北
亚洲,中国,,天津,红桥
亚洲,中国,,天津,滨海新区
亚洲,中国,,天津,东丽
亚洲,中国,,天津,西青
亚洲,中国,,天津,津南
亚洲,中国,,天津,北辰
亚洲,中国,,天津,宁河
亚洲,中国,,天津,武清
亚洲,中国,,天津,静海
亚洲,中国,,天津,宝坻
亚洲,中国,,天津,蓟县
亚洲,中国,河北,石家庄,长安区
亚洲,中国,河北,石家庄,桥东区
亚洲,中国,河北,石家庄,桥西区
亚洲,中国,河北,石家庄,新华区
亚洲,中国,河北,石家庄,井陉矿区
亚洲,中国,河北,石家庄,裕华区
亚洲,中国,河北,石家庄,井陉县
亚洲,中国,河北,石家庄,正定县
亚洲,中国,河北,石家庄,栾城县
亚洲,中国,河北,石家庄,行唐县
亚洲,中国,河北,石家庄,灵寿县
亚洲,中国,河北,石家庄,高邑县
亚洲,中国,河北,石家庄,深泽县
亚洲,中国,河北,石家庄,赞皇县
亚洲,中国,河北,石家庄,无极县
亚洲,中国,河北,石家庄,平山县
亚洲,中国,河北,石家庄,元氏县
亚洲,中国,河北,石家庄,赵县
亚洲,中国,河北,石家庄,辛集市
亚洲,中国,河北,石家庄,藁城市
亚洲,中国,河北,石家庄,晋州市
亚洲,中国,河北,石家庄,新乐市
亚洲,中国,河北,石家庄,鹿泉市
亚洲,中国,河北,唐山,路南区
亚洲,中国,河北,唐山,路北区
亚洲,中国,河北,唐山,古冶区
亚洲,中国,河北,唐山,开平区
亚洲,中国,河北,唐山,丰南区
亚洲,中国,河北,唐山,丰润区
亚洲,中国,河北,唐山,曹妃甸区
亚洲,中国,河北,唐山,滦县
亚洲,中国,河北,唐山,滦南县
亚洲,中国,河北,唐山,乐亭县
亚洲,中国,河北,唐山,迁西县
亚洲,中国,河北,唐山,玉田县
亚洲,中国,河北,唐山,遵化市
亚洲,中国,河北,唐山,迁安市
亚洲,中国,河北,秦皇岛,海港区
亚洲,中国,河北,秦皇岛,山海关区
亚洲,中国,河北,秦皇岛,北戴河区
亚洲,中国,河北,秦皇岛,青龙满族自治县
亚洲,中国,河北,秦皇岛,昌黎县
亚洲,中国,河北,秦皇岛,抚宁县
亚洲,中国,河北,秦皇岛,卢龙县
亚洲,中国,河北,邯郸,邯山区
亚洲,中国,河北,邯郸,丛台区
亚洲,中国,河北,邯郸,复兴区
亚洲,中国,河北,邯郸,峰峰矿区
亚洲,中国,河北,邯郸,邯郸县
亚洲,中国,河北,邯郸,临漳县
亚洲,中国,河北,邯郸,成安县
亚洲,中国,河北,邯郸,大名县
亚洲,中国,河北,邯郸,涉县
亚洲,中国,河北,邯郸,磁县
亚洲,中国,河北,邯郸,肥乡县
亚洲,中国,河北,邯郸,永年县
亚洲,中国,河北,邯郸,邱县
亚洲,中国,河北,邯郸,鸡泽县
亚洲,中国,河北,邯郸,广平县
亚洲,中国,河北,邯郸,馆陶县
亚洲,中国,河北,邯郸,魏县
亚洲,中国,河北,邯郸,曲周县
亚洲,中国,河北,邯郸,武安市
亚洲,中国,河北,邢台,桥东区
亚洲,中国,河北,邢台,桥西区
亚洲,中国,河北,邢台,邢台县
亚洲,中国,河北,邢台,临城县
亚洲,中国,河北,邢台,内丘县
亚洲,中国,河北,邢台,柏乡县
亚洲,中国,河北,邢台,隆尧县
亚洲,中国,河北,邢台,任县
亚洲,中国,河北,邢台,南和县
亚洲,中国,河北,邢台,宁晋县
亚洲,中国,河北,邢台,巨鹿县
亚洲,中国,河北,邢台,新河县
亚洲,中国,河北,邢台,广宗县
亚洲,中国,河北,邢台,平乡县
亚洲,中国,河北,邢台,威县
亚洲,中国,河北,邢台,清河县
亚洲,中国,河北,邢台,临西县
亚洲,中国,河北,邢台,南宫市
亚洲,中国,河北,邢台,沙河市
亚洲,中国,河北,保定,新市区
亚洲,中国,河北,保定,北市区
亚洲,中国,河北,保定,南市区
亚洲,中国,河北,保定,满城县
亚洲,中国,河北,保定,清苑县
亚洲,中国,河北,保定,涞水县
亚洲,中国,河北,保定,阜平县
亚洲,中国,河北,保定,徐水县
亚洲,中国,河北,保定,定兴县
亚洲,中国,河北,保定,唐县
亚洲,中国,河北,保定,高阳县
亚洲,中国,河北,保定,容城县
亚洲,中国,河北,保定,涞源县
亚洲,中国,河北,保定,望都县
亚洲,中国,河北,保定,安新县
亚洲,中国,河北,保定,易县
亚洲,中国,河北,保定,曲阳县
亚洲,中国,河北,保定,蠡县
亚洲,中国,河北,保定,顺平县
亚洲,中国,河北,保定,博野县
亚洲,中国,河北,保定,雄县
亚洲,中国,河北,保定,涿州市
亚洲,中国,河北,保定,定州市
亚洲,中国,河北,保定,安国市
亚洲,中国,河北,保定,高碑店市
亚洲,中国,河北,张家口,桥东区
亚洲,中国,河北,张家口,桥西区
亚洲,中国,河北,张家口,宣化区
亚洲,中国,河北,张家口,下花园区
亚洲,中国,河北,张家口,宣化县
亚洲,中国,河北,张家口,张北县
亚洲,中国,河北,张家口,康保县
亚洲,中国,河北,张家口,沽源县
亚洲,中国,河北,张家口,尚义县
亚洲,中国,河北,张家口,蔚县
亚洲,中国,河北,张家口,阳原县
亚洲,中国,河北,张家口,怀安县
亚洲,中国,河北,张家口,万全县
亚洲,中国,河北,张家口,怀来县
亚洲,中国,河北,张家口,涿鹿县
亚洲,中国,河北,张家口,赤城县
亚洲,中国,河北,张家口,崇礼县
亚洲,中国,河北,承德,双桥区
亚洲,中国,河北,承德,双滦区
亚洲,中国,河北,承德,鹰手营子矿区
亚洲,中国,河北,承德,承德县
亚洲,中国,河北,承德,兴隆县
亚洲,中国,河北,承德,平泉县
亚洲,中国,河北,承德,滦平县
亚洲,中国,河北,承德,隆化县
亚洲,中国,河北,承德,丰宁满族自治县
亚洲,中国,河北,承德,宽城满族自治县
亚洲,中国,河北,承德,围场满族蒙古族自治县
亚洲,中国,河北,沧州,新华区
亚洲,中国,河北,沧州,运河区
亚洲,中国,河北,沧州,沧县
亚洲,中国,河北,沧州,青县
亚洲,中国,河北,沧州,东光县
亚洲,中国,河北,沧州,海兴县
亚洲,中国,河北,沧州,盐山县
亚洲,中国,河北,沧州,肃宁县
亚洲,中国,河北,沧州,南皮县
亚洲,中国,河北,沧州,吴桥县
亚洲,中国,河北,沧州,献县
亚洲,中国,河北,沧州,孟村回族自治县
亚洲,中国,河北,沧州,泊头市
亚洲,中国,河北,沧州,任丘市
亚洲,中国,河北,沧州,黄骅市
亚洲,中国,河北,沧州,河间市
亚洲,中国,河北,廊坊,安次区
亚洲,中国,河北,廊坊,广阳区
亚洲,中国,河北,廊坊,固安县
亚洲,中国,河北,廊坊,永清县
亚洲,中国,河北,廊坊,香河县
亚洲,中国,河北,廊坊,大城县
亚洲,中国,河北,廊坊,文安县
亚洲,中国,河北,廊坊,大厂回族自治县
亚洲,中国,河北,廊坊,霸州市
亚洲,中国,河北,廊坊,三河市
亚洲,中国,河北,衡水,桃城区
亚洲,中国,河北,衡水,枣强县
亚洲,中国,河北,衡水,武邑县
亚洲,中国,河北,衡水,武强县
亚洲,中国,河北,衡水,饶阳县
亚洲,中国,河北,衡水,安平县
亚洲,中国,河北,衡水,故城县
亚洲,中国,河北,衡水,景县
亚洲,中国,河北,衡水,阜城县
亚洲,中国,河北,衡水,冀州市
亚洲,中国,河北,衡水,深州市
亚洲,中国,山西,太原,小店区
亚洲,中国,山西,太原,迎泽区
亚洲,中国,山西,太原,杏花岭区
亚洲,中国,山西,太原,尖草坪区
亚洲,中国,山西,太原,万柏林区
亚洲,中国,山西,太原,晋源区
亚洲,中国,山西,太原,清徐县
亚洲,中国,山西,太原,阳曲县
亚洲,中国,山西,太原,娄烦县
亚洲,中国,山西,太原,古交市
亚洲,中国,山西,大同,城区
亚洲,中国,山西,大同,矿区
亚洲,中国,山西,大同,南郊区
亚洲,中国,山西,大同,新荣区
亚洲,中国,山西,大同,阳高县
亚洲,中国,山西,大同,天镇县
亚洲,中国,山西,大同,广灵县
亚洲,中国,山西,大同,灵丘县
亚洲,中国,山西,大同,浑源县
亚洲,中国,山西,大同,左云县
亚洲,中国,山西,大同,大同县
亚洲,中国,山西,阳泉,城区
亚洲,中国,山西,阳泉,矿区
亚洲,中国,山西,阳泉,郊区
亚洲,中国,山西,阳泉,平定县
亚洲,中国,山西,阳泉,盂县
亚洲,中国,山西,长治,城区
亚洲,中国,山西,长治,郊区
亚洲,中国,山西,长治,长治县
亚洲,中国,山西,长治,襄垣县
亚洲,中国,山西,长治,屯留县
亚洲,中国,山西,长治,平顺县
亚洲,中国,山西,长治,黎城县
亚洲,中国,山西,长治,壶关县
亚洲,中国,山西,长治,长子县
亚洲,中国,山西,长治,武乡县
亚洲,中国,山西,长治,沁县
亚洲,中国,山西,长治,沁源县
亚洲,中国,山西,长治,潞城市
亚洲,中国,山西,晋城,城区
亚洲,中国,山西,晋城,沁水县
亚洲,中国,山西,晋城,阳城县
亚洲,中国,山西,晋城,陵川县
亚洲,中国,山西,晋城,泽州县
亚洲,中国,山西,晋城,高平市
亚洲,中国,山西,朔州,朔城区
亚洲,中国,山西,朔州,平鲁区
亚洲,中国,山西,朔州,山阴县
亚洲,中国,山西,朔州,应县
亚洲,中国,山西,朔州,右玉县
亚洲,中国,山西,朔州,怀仁县
亚洲,中国,山西,晋中,榆次区
亚洲,中国,山西,晋中,榆社县
亚洲,中国,山西,晋中,左权县
亚洲,中国,山西,晋中,和顺县
亚洲,中国,山西,晋中,昔阳县
亚洲,中国,山西,晋中,寿阳县
亚洲,中国,山西,晋中,太谷县
亚洲,中国,山西,晋中,祁县
亚洲,中国,山西,晋中,平遥县
亚洲,中国,山西,晋中,灵石县
亚洲,中国,山西,晋中,介休市
亚洲,中国,山西,运城,盐湖区
亚洲,中国,山西,运城,临猗县
亚洲,中国,山西,运城,万荣县
亚洲,中国,山西,运城,闻喜县
亚洲,中国,山西,运城,稷山县
亚洲,中国,山西,运城,新绛县
亚洲,中国,山西,运城,绛县
亚洲,中国,山西,运城,垣曲县
亚洲,中国,山西,运城,夏县
亚洲,中国,山西,运城,平陆县
亚洲,中国,山西,运城,芮城县
亚洲,中国,山西,运城,永济市
亚洲,中国,山西,运城,河津市
亚洲,中国,山西,忻州,忻府区
亚洲,中国,山西,忻州,定襄县
亚洲,中国,山西,忻州,五台县
亚洲,中国,山西,忻州,代县
亚洲,中国,山西,忻州,繁峙县
亚洲,中国,山西,忻州,宁武县
亚洲,中国,山西,忻州,静乐县
亚洲,中国,山西,忻州,神池县
亚洲,中国,山西,忻州,五寨县
亚洲,中国,山西,忻州,岢岚县
亚洲,中国,山西,忻州,河曲县
亚洲,中国,山西,忻州,保德县
亚洲,中国,山西,忻州,偏关县
亚洲,中国,山西,忻州,原平市
亚洲,中国,山西,临汾,尧都区
亚洲,中国,山西,临汾,曲沃县
亚洲,中国,山西,临汾,翼城县
亚洲,中国,山西,临汾,襄汾县
亚洲,中国,山西,临汾,洪洞县
亚洲,中国,山西,临汾,古县
亚洲,中国,山西,临汾,安泽县
亚洲,中国,山西,临汾,浮山县
亚洲,中国,山西,临汾,吉县
亚洲,中国,山西,临汾,乡宁县
亚洲,中国,山西,临汾,大宁县
亚洲,中国,山西,临汾,隰县
亚洲,中国,山西,临汾,永和县
亚洲,中国,山西,临汾,蒲县
亚洲,中国,山西,临汾,汾西县
亚洲,中国,山西,临汾,侯马市
亚洲,中国,山西,临汾,霍州市
亚洲,中国,山西,吕梁,离石区
亚洲,中国,山西,吕梁,文水县
亚洲,中国,山西,吕梁,交城县
亚洲,中国,山西,吕梁,兴县
亚洲,中国,山西,吕梁,临县
亚洲,中国,山西,吕梁,柳林县
亚洲,中国,山西,吕梁,石楼县
亚洲,中国,山西,吕梁,岚县
亚洲,中国,山西,吕梁,方山县
亚洲,中国,山西,吕梁,中阳县
亚洲,中国,山西,吕梁,交口县
亚洲,中国,山西,吕梁,孝义市
亚洲,中国,山西,吕梁,汾阳市
亚洲,中国,内蒙古,呼和浩特,新城区
亚洲,中国,内蒙古,呼和浩特,回民区
亚洲,中国,内蒙古,呼和浩特,玉泉区
亚洲,中国,内蒙古,呼和浩特,赛罕区
亚洲,中国,内蒙古,呼和浩特,土默特左旗
亚洲,中国,内蒙古,呼和浩特,托克托县
亚洲,中国,内蒙古,呼和浩特,和林格尔县
亚洲,中国,内蒙古,呼和浩特,清水河县
亚洲,中国,内蒙古,呼和浩特,武川县
亚洲,中国,内蒙古,包头,东河区
亚洲,中国,内蒙古,包头,昆都仑区
亚洲,中国,内蒙古,包头,青山区
亚洲,中国,内蒙古,包头,石拐区
亚洲,中国,内蒙古,包头,白云鄂博矿区
亚洲,中国,内蒙古,包头,九原区
亚洲,中国,内蒙古,包头,土默特右旗
亚洲,中国,内蒙古,包头,固阳县
亚洲,中国,内蒙古,包头,达尔罕茂明安联合旗
亚洲,中国,内蒙古,乌海,海勃湾区
亚洲,中国,内蒙古,乌海,海南区
亚洲,中国,内蒙古,乌海,乌达区
亚洲,中国,内蒙古,赤峰,红山区
亚洲,中国,内蒙古,赤峰,元宝山区
亚洲,中国,内蒙古,赤峰,松山区
亚洲,中国,内蒙古,赤峰,阿鲁科尔沁旗
亚洲,中国,内蒙古,赤峰,巴林左旗
亚洲,中国,内蒙古,赤峰,巴林右旗
亚洲,中国,内蒙古,赤峰,林西县
